City ,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020
Riyadh,0,0,0,0,0,0,0,1,0,0,0,3,12,2,4,19,19,21,49,36,34,18,69,83,34,46,41,27,22,33,7,7,13,80,36,65,97,83,69,76,198,118,114,56,84,24,225,85,200,148,164,157,131,170,267,178,171,203,440,282,161,109,131,230,149,194,142,316,363,520,443,673,478,419,839,488,642,730,815,714,856,794,742,765,789,739,611,483,679,504,668,556,683,675,719,900,717,746,1099,1317,1431,1584,1089,1735,1658,1629,2371,1442,1091,740,668,438,299
Jeddah,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,3,13,1,11,5,0,0,82,10,13,7,18,12,9,29,3,30,30,28,36,38,44,45,54,50,19,80,46,69,195,142,236,210,186,171,114,208,210,271,117,294,262,224,120,142,245,245,261,385,312,315,373,265,374,236,306,338,482,444,450,357,305,526,311,390,403,444,474,350,327,325,360,251,247,586,293,279,418,259,459,572,351,577,447,460,294,391,527,352,413,477,279,300,384,421,342,388,393
Makkah,0,0,0,0,0,0,0,0,1,0,21,26,0,0,2,3,11,3,2,2,72,12,0,0,26,0,12,7,40,20,55,48,21,25,58,35,51,78,90,131,103,95,111,40,58,325,315,251,402,305,315,209,242,364,272,218,327,356,392,207,244,221,287,337,308,254,246,417,438,343,407,283,356,443,366,557,510,385,306,299,289,466,611,416,120,162,148,189,105,159,164,300,279,286,254,279,623,376,411,140,293,197,310,314,389,224,282,399,305,354,340,269,277
Dammam,0,0,0,0,0,0,0,0,4,0,0,7,0,1,0,0,23,3,1,0,1,3,6,13,6,4,0,23,34,3,0,4,1,2,7,3,10,0,6,15,10,0,69,84,38,18,88,194,78,5,61,43,46,43,51,26,35,74,110,114,126,150,261,141,84,171,130,111,104,95,78,147,93,148,180,286,174,87,157,86,194,79,136,113,143,74,101,124,84,110,290,123,133,53,90,149,257,301,198,189,214,104,227,161,270,192,137,179,167,178,225,345,301
Madinah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,3,19,6,14,22,3,78,46,34,2,6,11,79,89,78,95,73,113,50,109,91,197,186,177,120,299,137,293,272,120,217,202,273,225,119,237,249,139,152,25,292,396,308,112,248,257,176,64,247,152,290,392,245,296,236,193,205,273,69,184,12,35,50,52,45,95,19,57,167,124,129,170,110,124,161,127,74,144,191,158,125,100,156,191,104,173,165,169,156
Hufof,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,3,0,0,0,2,1,1,1,6,2,1,0,4,15,2,0,4,2,5,3,0,7,16,86,1,35,6,123,63,138,240,78,40,34,17,37,5,42,29,12,64,55,133,101,53,40,68,23,72,137,91,67,93,128,49,149,147,117,140,141,49,28,18,55,166,118,91,107,101,55,39,119,31,112,102,144,132,241,94,194,206,192,91,147,205,200,273,174,430,285,102,183,1
Qattif,1,0,1,3,0,2,4,3,0,0,3,3,3,7,1,10,0,4,1,1,4,3,6,6,5,10,12,1,5,7,6,5,6,8,7,13,13,10,12,0,3,0,0,4,5,0,0,0,0,0,0,1,1,0,2,7,4,4,23,0,0,5,3,0,3,40,1,15,16,23,17,3,21,13,80,24,71,16,71,15,77,22,22,24,31,29,13,30,25,21,22,78,70,49,76,121,120,224,131,157,52,93,114,144,183,116,32,218,180,148,216,217,237
Khobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,2,1,1,4,6,4,0,1,3,4,4,0,2,0,0,1,0,0,1,1,2,2,4,0,5,0,0,28,30,45,1,50,7,36,7,33,81,66,26,89,30,120,41,54,6,60,74,47,9,30,78,51,133,37,42,54,73,21,120,58,26,54,46,18,64,33,11,36,54,26,81,86,62,180,145,103,100,176,163,137,89,132,114,162,153,143,77,49,178
Taif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,0,0,1,2,0,2,0,0,4,4,1,4,4,4,1,2,8,1,9,13,3,10,7,16,27,14,32,21,27,10,5,32,7,17,27,13,68,14,65,163,36,62,107,28,71,16,50,68,41,57,81,64,66,63,50,52,31,25,10,13,14,22,14,13,22,17,27,85,42,31,76,95,42,42,127,77,83,57,74,130,65,140,97,213,221,179,121,117
Jubail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,6,4,4,27,3,39,12,0,40,45,26,19,107,58,23,35,171,80,156,217,120,93,48,122,67,30,49,33,52,5,56,75,149,33,36,63,58,87,77,82,74,37,29,17,49,19,50,62,4,26,31,66,49,60,28,53,41,28,51,47,41,53,56,39,35,59,38,40,52,28
